last_updated,notes,rankings
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 1, 'dg_id': 18417, 'dg_skill_estimate': 3.08169657246601, 'owgr_rank': 1, 'player_name': 'Scheffler, Scottie', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 2, 'dg_id': 19841, 'dg_skill_estimate': 2.07460372868972, 'owgr_rank': 10, 'player_name': 'DeChambeau, Bryson', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'ESP', 'datagolf_rank': 3, 'dg_id': 19195, 'dg_skill_estimate': 1.95843441953723, 'owgr_rank': 77, 'player_name': 'Rahm, Jon', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'NIR', 'datagolf_rank': 4, 'dg_id': 10091, 'dg_skill_estimate': 1.75996863088695, 'owgr_rank': 2, 'player_name': 'McIlroy, Rory', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'CHI', 'datagolf_rank': 5, 'dg_id': 18079, 'dg_skill_estimate': 1.73256667519151, 'owgr_rank': 79, 'player_name': 'Niemann, Joaquin', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 6, 'dg_id': 14139, 'dg_skill_estimate': 1.69669047830712, 'owgr_rank': 5, 'player_name': 'Thomas, Justin', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'ENG', 'datagolf_rank': 7, 'dg_id': 12294, 'dg_skill_estimate': 1.67708401011613, 'owgr_rank': 13, 'player_name': 'Fleetwood, Tommy', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 8, 'dg_id': 22085, 'dg_skill_estimate': 1.61213063186084, 'owgr_rank': 4, 'player_name': 'Morikawa, Collin', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 9, 'dg_id': 19895, 'dg_skill_estimate': 1.59340381630129, 'owgr_rank': 3, 'player_name': 'Schauffele, Xander', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'AUT', 'datagolf_rank': 10, 'dg_id': 17511, 'dg_skill_estimate': 1.57000167811422, 'owgr_rank': 8, 'player_name': 'Straka, Sepp', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 11, 'dg_id': 15466, 'dg_skill_estimate': 1.45724707190281, 'owgr_rank': 16, 'player_name': 'Cantlay, Patrick', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'IRL', 'datagolf_rank': 12, 'dg_id': 13900, 'dg_skill_estimate': 1.40440390265736, 'owgr_rank': 12, 'player_name': 'Lowry, Shane', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'CAN', 'datagolf_rank': 13, 'dg_id': 17576, 'dg_skill_estimate': 1.39912332177248, 'owgr_rank': 21, 'player_name': 'Conners, Corey', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 14, 'dg_id': 14578, 'dg_skill_estimate': 1.37219891387292, 'owgr_rank': 7, 'player_name': 'Henley, Russell', 'primary_tour': 'PGA'}"
