last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 18417, 'driving_acc': 0.07, 'driving_dist': 6.742, 'player_name': 'Scheffler, Scottie', 'sg_app': 1.461, 'sg_arg': 0.329, 'sg_ott': 0.931, 'sg_putt': 0.402, 'sg_total': 3.123}"
2025-06-09 16:00:33 UTC,"{'dg_id': 19841, 'driving_acc': -0.009, 'driving_dist': 26.937, 'player_name': 'DeChambeau, Bryson', 'sg_app': 0.443, 'sg_arg': 0.278, 'sg_ott': 1.479, 'sg_putt': 0.285, 'sg_total': 2.486}"
2025-06-09 16:00:33 UTC,"{'dg_id': 19195, 'driving_acc': 0.033, 'driving_dist': 14.376, 'player_name': 'Rahm, Jon', 'sg_app': 0.624, 'sg_arg': 0.404, 'sg_ott': 1.007, 'sg_putt': 0.157, 'sg_total': 2.191}"
2025-06-09 16:00:33 UTC,"{'dg_id': 18079, 'driving_acc': -0.01, 'driving_dist': 17.199, 'player_name': 'Niemann, Joaquin', 'sg_app': 0.931, 'sg_arg': 0.086, 'sg_ott': 0.782, 'sg_putt': 0.123, 'sg_total': 1.922}"
2025-06-09 16:00:33 UTC,"{'dg_id': 12294, 'driving_acc': 0.06, 'driving_dist': -0.287, 'player_name': 'Fleetwood, Tommy', 'sg_app': 0.764, 'sg_arg': 0.321, 'sg_ott': 0.382, 'sg_putt': 0.191, 'sg_total': 1.659}"
2025-06-09 16:00:33 UTC,"{'dg_id': 22085, 'driving_acc': 0.105, 'driving_dist': -2.344, 'player_name': 'Morikawa, Collin', 'sg_app': 0.74, 'sg_arg': 0.131, 'sg_ott': 0.554, 'sg_putt': 0.219, 'sg_total': 1.644}"
2025-06-09 16:00:33 UTC,"{'dg_id': 14139, 'driving_acc': -0.029, 'driving_dist': 8.478, 'player_name': 'Thomas, Justin', 'sg_app': 0.662, 'sg_arg': 0.365, 'sg_ott': 0.23, 'sg_putt': 0.378, 'sg_total': 1.635}"
2025-06-09 16:00:33 UTC,"{'dg_id': 10091, 'driving_acc': -0.046, 'driving_dist': 20.345, 'player_name': 'McIlroy, Rory', 'sg_app': 0.453, 'sg_arg': 0.174, 'sg_ott': 0.636, 'sg_putt': 0.314, 'sg_total': 1.578}"
2025-06-09 16:00:33 UTC,"{'dg_id': 15466, 'driving_acc': 0.006, 'driving_dist': 7.098, 'player_name': 'Cantlay, Patrick', 'sg_app': 0.728, 'sg_arg': 0.09, 'sg_ott': 0.48, 'sg_putt': 0.217, 'sg_total': 1.515}"
2025-06-09 16:00:33 UTC,"{'dg_id': 19895, 'driving_acc': -0.037, 'driving_dist': 12.018, 'player_name': 'Schauffele, Xander', 'sg_app': 0.741, 'sg_arg': 0.179, 'sg_ott': 0.305, 'sg_putt': 0.239, 'sg_total': 1.464}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17576, 'driving_acc': 0.089, 'driving_dist': -0.363, 'player_name': 'Conners, Corey', 'sg_app': 0.602, 'sg_arg': 0.021, 'sg_ott': 0.674, 'sg_putt': 0.146, 'sg_total': 1.443}"
2025-06-09 16:00:33 UTC,"{'dg_id': 17511, 'driving_acc': 0.084, 'driving_dist': -2.836, 'player_name': 'Straka, Sepp', 'sg_app': 0.792, 'sg_arg': -0.098, 'sg_ott': 0.451, 'sg_putt': 0.295, 'sg_total': 1.44}"
2025-06-09 16:00:33 UTC,"{'dg_id': 24968, 'driving_acc': 0.011, 'driving_dist': 2.296, 'player_name': 'Griffin, Ben', 'sg_app': 0.523, 'sg_arg': 0.204, 'sg_ott': 0.324, 'sg_putt': 0.347, 'sg_total': 1.398}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23950, 'driving_acc': 0.005, 'driving_dist': 13.51, 'player_name': 'Aberg, Ludvig', 'sg_app': 0.438, 'sg_arg': 0.027, 'sg_ott': 0.695, 'sg_putt': 0.17, 'sg_total': 1.331}"
2025-06-09 16:00:33 UTC,"{'dg_id': 13872, 'driving_acc': 0.037, 'driving_dist': 5.878, 'player_name': 'Bradley, Keegan', 'sg_app': 0.668, 'sg_arg': 0.2, 'sg_ott': 0.494, 'sg_putt': -0.037, 'sg_total': 1.324}"
2025-06-09 16:00:33 UTC,"{'dg_id': 13900, 'driving_acc': 0.046, 'driving_dist': -1.44, 'player_name': 'Lowry, Shane', 'sg_app': 0.902, 'sg_arg': 0.174, 'sg_ott': 0.226, 'sg_putt': -0.001, 'sg_total': 1.301}"
