current_season,schedule,tour
2025,"{'course': 'Royal Queensland GC', 'course_key': 'royal queensland gc', 'event_id': '2025100', 'event_name': 'BMW Australian PGA Championship', 'latitude': -27.439, 'location': 'Brisbane, Australia', 'longitude': 153.092, 'start_date': '2024-11-21', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Kingston Heath GC', 'course_key': 'kingston heath gc', 'event_id': '2025101', 'event_name': 'ISPS Handa Australian Open', 'latitude': -37.955, 'location': 'Melbourne, Victoria, Australia', 'longitude': 145.086, 'start_date': '2024-11-28', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Gary Player CC', 'course_key': 'gary player cc', 'event_id': '2025102', 'event_name': 'Nedbank Golf Challenge', 'latitude': -25.339, 'location': 'Sun City, South Africa', 'longitude': 27.106, 'start_date': '2024-12-05', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Leopard Creek CC', 'course_key': 'leopard creek cc', 'event_id': '2025103', 'event_name': 'Alfred Dunhill Championship', 'latitude': -25.442, 'location': 'Malalane, South Africa', 'longitude': 31.535, 'start_date': '2024-12-12', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Mont Choisy Le Golf', 'course_key': 'mont choisy le golf', 'event_id': '2025104', 'event_name': 'AfrAsia Bank Mauritius Open', 'latitude': -20.024, 'location': 'Grand-Baie, Mauritius', 'longitude': 57.565, 'start_date': '2024-12-19', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Plantation Course at Kapalua', 'course_key': '656', 'event_id': 16, 'event_name': 'The Sentry', 'latitude': 21.001, 'location': 'Kapalua, HI', 'longitude': -156.654, 'start_date': '2025-01-02', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Waialae Country Club', 'course_key': '006', 'event_id': 6, 'event_name': 'Sony Open in Hawaii', 'latitude': 21.272, 'location': 'Honolulu, HI', 'longitude': -157.775, 'start_date': '2025-01-09', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Ocean Club Golf Course at Atlantis', 'course_key': '097', 'event_id': 124, 'event_name': 'The Bahamas Golf Classic at Atlantis Paradise Island', 'latitude': 25.081, 'location': 'Nassau, The Bahamas', 'longitude': -77.299, 'start_date': '2025-01-12', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Pete Dye Stadium Course;La Quinta Country Club;Nicklaus Tournament Course', 'course_key': '704;202;233', 'event_id': 2, 'event_name': 'The American Express', 'latitude': 33.643, 'location': 'La Quinta, CA', 'longitude': -116.267, 'start_date': '2025-01-16', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Emirates GC', 'course_key': 'emirates gc', 'event_id': '2025106', 'event_name': 'Hero Dubai Desert Classic', 'latitude': 25.263, 'location': 'Dubai, UAE', 'longitude': 55.297, 'start_date': '2025-01-16', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'The Abaco Club on Winding Bay', 'course_key': '800', 'event_id': 125, 'event_name': 'The Bahamas Great Abaco Classic at The Abaco Club', 'latitude': 26.3, 'location': 'Cherokee, Great Abaco, Bahamas', 'longitude': -77.021, 'start_date': '2025-01-19', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Torrey Pines Golf Course (South Course);Torrey Pines Golf Course (North Course)', 'course_key': '004;104', 'event_id': 4, 'event_name': 'Farmers Insurance Open', 'latitude': 32.905, 'location': 'San Diego, CA', 'longitude': -117.245, 'start_date': '2025-01-22', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Al Hamra GC', 'course_key': 'al hamra gc', 'event_id': '2025107', 'event_name': 'Ras Al Khaimah Championship', 'latitude': 25.69, 'location': 'Ras Al Khaimah, UAE', 'longitude': 55.777, 'start_date': '2025-01-23', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Royal GC', 'course_key': 'royal golf club', 'event_id': '2025108', 'event_name': 'Bapco Energies Bahrain Championship', 'latitude': 26.092, 'location': 'Al Mazrowiah, Bahrain', 'longitude': 50.566, 'start_date': '2025-01-30', 'tour': 'euro'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Pebble Beach Golf Links;Spyglass Hill Golf Course', 'course_key': '005;205', 'event_id': 5, 'event_name': 'AT&T Pebble Beach Pro-Am', 'latitude': 36.569, 'location': 'Pebble Beach, CA', 'longitude': -121.951, 'start_date': '2025-01-30', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Club de Golf de Panama', 'course_key': '659', 'event_id': 84, 'event_name': 'The Panama Championship', 'latitude': 9.084, 'location': 'Corredor Norte, Panama', 'longitude': -79.474, 'start_date': '2025-01-30', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'Country Club de Bogota-Lagos;Country Club de Bogota-Pacos', 'course_key': '735;809', 'event_id': 104, 'event_name': 'Astara Golf Championship presented by Mastercard', 'latitude': 4.71, 'location': 'Bogota, Colombia', 'longitude': -74.042, 'start_date': '2025-02-06', 'tour': 'kft'}","pga, kft, euro, alt (liv golf)"
2025,"{'course': 'TPC Scottsdale (Stadium Course)', 'course_key': '510', 'event_id': 3, 'event_name': 'WM Phoenix Open', 'latitude': 33.64, 'location': 'Scottsdale, AZ', 'longitude': -111.91, 'start_date': '2025-02-06', 'tour': 'pga'}","pga, kft, euro, alt (liv golf)"
